SUBURB_ID,LOCALITY_NAME,SUBURB_NAME,STATE,POSTCODE,LONGITUDE,LATITUDE;;;
388,Sydney,Gore;Hill,NSW,2065,151.186737,-33.822491;;
390,Sydney,Leppington,NSW,2171,150.949463,-33.737827;;;
391,Sydney,Grasmere,NSW,2570,151.219193,-33.825817;;;
392,Sydney,Lewisham,NSW,2049,151.144974,-33.894371;;;
393,Sydney,Grays;Point,NSW,2232,151.081406,-34.058609;;
394,Sydney,Liberty;Grove,NSW,2138,151.083603,-33.84166;;
395,Sydney,Lidcombe,NSW,2141,151.040833,-33.864861;;;
397,Sydney,Greendale,NSW,2546,150.929871,-33.883875;;;
398,Sydney,Lilyfield,NSW,2040,151.162415,-33.873779;;;
399,Sydney,Lindfield,NSW,2070,151.168671,-33.775188;;;
401,Sydney,Linley;Point,NSW,2066,151.149078,-33.826488;;
402,Sydney,Grose;Vale,NSW,2753,150.691498,-33.586872;;
403,Sydney,Little;Bay,NSW,2036,151.242371,-33.982922;;
404,Sydney,Grose;Wold,NSW,2753,150.688858,-33.600983;;
405,Sydney,Liverpool,NSW,2170,150.923096,-33.922451;;;
408,Sydney,Gymea,NSW,2227,151.084961,-34.035332;;;
409,Sydney,Longueville,NSW,2066,151.168716,-33.82922;;;
410,Sydney,Gymea;Bay,NSW,2227,151.087692,-34.042179;;
412,Sydney,Lugarno,NSW,2210,151.047882,-33.975929;;;
413,Sydney,Lurnea,NSW,2170,150.896255,-33.931519;;;
414,Sydney,Harbord,NSW,2096,151.285767,-33.77866;;;
416,Sydney,Harrington;Park,NSW,2567,150.737076,-34.027508;;
417,Sydney,Macquarie;Park,NSW,2113,151.124344,-33.77969;;
418,Sydney,Macquarie;University,NSW,2109,151.107971,-33.771576;;
419,Sydney,Hartley,NSW,2790,150.929871,-33.883875;;;
420,Sydney,Malabar,NSW,2036,151.246994,-33.962341;;;
421,Sydney,Hartley;Vale,NSW,2790,151.145248,-33.703247;;
423,Sydney,Hassall;Grove,NSW,2761,150.836777,-33.73476;;
424,Sydney,Manly,NSW,2093,151.25267,-33.797012;;;
425,Sydney,Hawkesbury;Heights,NSW,2777,150.596664,-33.683144;;
427,Sydney,Manly;Vale,NSW,2093,151.267715,-33.781761;;
428,Sydney,Hazelbrook,NSW,2779,150.706177,-33.724659;;;
429,Sydney,Marayong,NSW,2148,150.899765,-33.746269;;;
430,Sydney,Heathcote,NSW,2233,151.008682,-34.081669;;;
431,Sydney,Maroubra,NSW,2035,151.242813,-33.946121;;;
432,Sydney,Hebersham,NSW,2770,150.822617,-33.743999;;;
434,Sydney,Marrickville,NSW,2204,151.160553,-33.91251;;;
435,Sydney,Helensburgh,NSW,2508,150.975502,-34.202206;;;
437,Sydney,Helensburgh;North,NSW,2508,150.975502,-34.202206;;
438,Sydney,Marrickville;South,NSW,2204,151.151566,-33.91518;;
439,Sydney,Marsfield,NSW,2122,151.102325,-33.78035;;;
440,Sydney,Mascot,NSW,2020,151.194595,-33.929852;;;
441,Sydney,Matraville,NSW,2036,151.231522,-33.960442;;;
442,Sydney,Hobartville,NSW,2753,150.699982,-33.62237;;;
443,Sydney,Mays;Hill,NSW,2145,150.989746,-33.821789;;
444,Sydney,Mcmahons;Point,NSW,2060,151.203995,-33.846298;;
445,Sydney,Meadowbank,NSW,2114,151.091003,-33.816021;;;
446,Sydney,Melrose;Park,NSW,2114,151.075867,-33.81662;;
447,Sydney,Homebush;Bay,NSW,2127,151.070648,-33.8437;;
